artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
Dexta Daps,Call Me If (Explicit),VENT (Explicit),"dancehall,reggae",2,240000,400613
Nina Simone,Ne Me Quitte Pas,I Put A Spell On You,"jazz,soul,vocal jazz,blues",2,214533,429034
JID,2007 (Explicit),The Forever Story (Extended Version) (Ex,"",2,446822,503875
Alessia Cara,I'm Yours,Know-It-All,"pop,soul,rnb",2,228680,169116
Hozier,Nobody's Soldier,Unreal Unearth_ Unaired,"",2,237200,474244
Nina Simone,Take Care Of Business,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,125960,125910
PARTYNEXTDOOR,C h e e r s (Explicit),PARTYNEXTDOOR 4 (P4) (Explicit),"",1,234075,234057
Burna Boy,Pull Up,African Giant (Explicit),"rap,hip-hop",1,187866,1950
Kendrick Lamar,Now Or Never (Bonus Track),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",1,256213,256208
BLK ODYSSY,LET IT GROW (Explicit),DIAMONDS & FREAKS (Explicit),"",1,216462,216409
Sam Smith,"Baby, You Make Me Crazy",The Thrill Of It All (Explicit),"pop,soul,british",1,207966,207960
BLK ODYSSY,DOPAMINE & HENNESSY (Explicit),DIAMONDS & FREAKS (Explicit),"",1,199786,199784
rum.gold,All I Wanna Do (Voice Memo),aiMless,"soul,pop,singer-songwriter",1,38280,38243
Teyana Taylor,Never Would Have Made It (Explicit),K.T.S.E. (Explicit),"rnb,neo soul,neo-soul",1,159924,159895
Nina Simone,Tomorrow Is My Turn,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,168306,168254
Daniel Caesar,Sign Of The Times (Explicit),Son Of Spergy (Explicit),"rnb,gospel,neo-soul",1,231800,231784
Jhen_ Aiko,3_16AM,Sail Out (Explicit),"",1,200720,3343
SZA,Love Galore (Explicit),Ctrl (Explicit),"neo-soul,rnb",1,275080,275017
twenty one pilots,Overcompensate,Clancy,"rock,alternative,trip-hop",1,236000,235914
Kanye West,FML (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",1,236120,236068
JAY-Z,Caught Their Eyes (Explicit),4_44 (Explicit),"",1,206133,206106
Nina Simone,Gimme Some,I Put A Spell On You,"jazz,soul,vocal jazz,blues",1,178026,178024
Doja Cat,Say So (Explicit),Hot Pink (Explicit),"pop,rap,rnb,disco",1,237893,237865
Kendrick Lamar,Black Boy Fly (Bonus Track) (Explicit),"good kid, m.A.A.d city (Deluxe) (Explicit)","hip-hop,hip hop,rap",1,279146,279118
JAY-Z,The Story of O.J. (Explicit),4_44 (Explicit),"",1,231760,231758
